candidate_no,random_state,early_stopping,max_iter,n_iter_no_change,validation_fraction,cv_mean_roc_auc,cv_std_roc_auc
4,42,True,800,20,0.1,0.990065816648188,0.001739365774738825
22,42,True,1200,20,0.1,0.990065816648188,0.001739365774738825
13,42,True,1000,20,0.1,0.990065816648188,0.001739365774738825
10,42,True,1000,15,0.1,0.990065216375567,0.0018326860507152922
19,42,True,1200,15,0.1,0.990065216375567,0.0018326860507152922
1,42,True,800,15,0.1,0.990065216375567,0.0018326860507152922
7,42,True,800,25,0.1,0.9899752951313348,0.0017099876694401108
16,42,True,1000,25,0.1,0.9899752951313348,0.0017099876694401108
25,42,True,1200,25,0.1,0.9899752951313348,0.0017099876694401108
27,42,True,1200,25,0.3,0.9895555646407628,0.0010041731138205137
9,42,True,800,25,0.3,0.9895555646407628,0.0010041731138205137
18,42,True,1000,25,0.3,0.9895555646407628,0.0010041731138205137
8,42,True,800,25,0.2,0.9894655785021934,0.0011971478358147015
26,42,True,1200,25,0.2,0.9894655785021934,0.0011971478358147015
17,42,True,1000,25,0.2,0.9894655785021934,0.0011971478358147015
6,42,True,800,20,0.3,0.9894426525495525,0.001030829456245466
24,42,True,1200,20,0.3,0.9894426525495525,0.001030829456245466
15,42,True,1000,20,0.3,0.9894426525495525,0.001030829456245466
5,42,True,800,20,0.2,0.9893323524554234,0.001275358600105456
23,42,True,1200,20,0.2,0.9893323524554234,0.001275358600105456
14,42,True,1000,20,0.2,0.9893323524554234,0.001275358600105456
2,42,True,800,15,0.2,0.9892718060386129,0.001249113513593764
11,42,True,1000,15,0.2,0.9892718060386129,0.001249113513593764
20,42,True,1200,15,0.2,0.9892718060386129,0.001249113513593764
3,42,True,800,15,0.3,0.989222825009499,0.0009542553216629441
12,42,True,1000,15,0.3,0.989222825009499,0.0009542553216629441
21,42,True,1200,15,0.3,0.989222825009499,0.0009542553216629441
